------------------------------------------------------------
Client connecting to 192.168.0.105, UDP port 5001
Sending 1000 byte datagrams, IPG target: 2.48 us (kalman adjust)
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 192.168.0.105 port 56286 connected with 192.168.0.105 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 288.0000-289.0000 sec   392 MBytes  3.28 Gbits/sec
[  1] 289.0000-290.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 290.0000-291.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 291.0000-292.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 292.0000-293.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 293.0000-294.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 294.0000-295.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 295.0000-296.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 296.0000-297.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 297.0000-298.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 298.0000-299.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 299.0000-300.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 300.0000-301.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 301.0000-302.0000 sec   381 MBytes  3.20 Gbits/sec
[  1] 302.0000-303.0000 sec   387 MBytes  3.25 Gbits/sec
[  1] 303.0000-304.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 304.0000-305.0000 sec   377 MBytes  3.17 Gbits/sec
[  1] 305.0000-306.0000 sec   390 MBytes  3.28 Gbits/sec
[  1] 306.0000-307.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 307.0000-308.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 308.0000-309.0000 sec   381 MBytes  3.19 Gbits/sec
[  1] 309.0000-310.0000 sec   366 MBytes  3.07 Gbits/sec
[  1] 310.0000-311.0000 sec   362 MBytes  3.04 Gbits/sec
[  1] 311.0000-312.0000 sec   382 MBytes  3.21 Gbits/sec
[  1] 312.0000-313.0000 sec   388 MBytes  3.25 Gbits/sec
[  1] 313.0000-314.0000 sec   387 MBytes  3.25 Gbits/sec
[  1] 314.0000-315.0000 sec   381 MBytes  3.20 Gbits/sec
[  1] 315.0000-316.0000 sec   377 MBytes  3.16 Gbits/sec
[  1] 316.0000-317.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 317.0000-318.0000 sec   387 MBytes  3.25 Gbits/sec
[  1] 318.0000-319.0000 sec   380 MBytes  3.18 Gbits/sec
[  1] 319.0000-320.0000 sec   377 MBytes  3.16 Gbits/sec
[  1] 320.0000-321.0000 sec   388 MBytes  3.26 Gbits/sec
[  1] 321.0000-322.0000 sec   387 MBytes  3.24 Gbits/sec
